RA,CÓDIGO TURMA,TURMA
11108115,DBBHO1335-15SB,Formação do Sistema Internacional B-Matutino (São Bernardo)
11108115,DBBHO1101-15SB,Introdução à Economia B-Matutino (São Bernardo)
11108115,DBBIN0406-15SB,Introdução à Probabilidade e à Estatística B-Matutino (São Bernardo)
11108115,DBBHO0001-15SB,Introdução às Humanidades e Ciências Sociais B-Matutino (São Bernardo)
11108115,DBBHP0202-15SB,Pensamento Crítico B-Matutino (São Bernardo)
11001611,NAESTS006-17SB,"Laboratório de Guiagem, Navegação e Controle A-Noturno (São Bernardo)"
21078912,NAESHC037-17SB,Econometria III A-Noturno (São Bernardo)
21078912,NAESHC008-17SB,Economia Brasileira Contemporânea II A-Noturno (São Bernardo)
21078912,NAESHC038-17SB,Economia Monetária A-Noturno (São Bernardo)
21010816,NA3BCL0308-15SB,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A3-Noturno (São Bernardo)"
21010816,NAMCTB009-17SB,Cálculo Numérico A-Noturno (São Bernardo)
21010816,NBBIN0406-15SA,Introdução à Probabilidade e à Estatística B-Noturno (Santo André)
21080514,DAMCTB001-17SA,Álgebra Linear A-Matutino (Santo André)
21080514,DB1BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas B1-Matutino (Santo André)"
21080514,NS1BCJ0204-15SA,Fenômenos Mecânicos S1-Noturno (Santo André)
21080514,DAMCTD010-13SA,História da Matemática A-Matutino (Santo André)
11037012,NAESTM004-17SA,Ciência dos Materiais A-Noturno (Santo André)
11037012,DBBCN0405-15SA,Introdução às Equações Diferenciais Ordinárias B-Matutino (Santo André)
11037012,DSBCM0505-15SA,Processamento da Informação S-Matutino (Santo André)
11037012,NA2ESTM010-17SA,Propriedades Mecânicas e Térmicas A2-Noturno (Santo André)
11037012,NAESZM016-17SA,Síntese de Polímeros A-Noturno (Santo André)
11094016,NA2BIS0003-15SA,Bases Matemáticas A2-Noturno (Santo André)
11094016,NB6BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas B6-Noturno (Santo André)"
11094016,NABIK0102-15SA,Estrutura da Matéria A-Noturno (Santo André)
11094016,DSBCM0505-15SA,Processamento da Informação S-Matutino (Santo André)
11123315,DB2BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente B2-Matutino (Santo André)
11123315,NA3BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A3-Noturno (Santo André)"
11123315,DAMCTB009-17SA,Cálculo Numérico A-Matutino (Santo André)
11123315,DAESZE104-17SA,Energia Geotérmica A-Matutino (Santo André)
11123315,DB3BCN0404-15SA,Geometria Analítica B3-Matutino (Santo André)
11011713,DAESTM001-17SA,Estado Sólido A-Matutino (Santo André)
11011713,NAESZM002-17SA,Nanociência e Nanotecnologia A-Matutino (Santo André)
11011713,NA1ESTM003-17SA,Tópicos Computacionais em Materiais A1-Noturno (Santo André)
11118414,DBNHI5015-15SA,LIBRAS B-Matutino (Santo André)
11118414,DANHI5011-13SA,Políticas Educacionais A-Matutino (Santo André)
11118414,DANHT4051-15SA,Química Analítica Clássica I A-Matutino (Santo André)
11118414,DANHT4041-15SA,Química Orgânica Experimental A-Matutino (Santo André)
21035814,NAESHC003-17SB,Desenvolvimento Socioeconômico A-Noturno (São Bernardo)
21035814,DBESHC035-17SB,Econometria I B-Matutino (São Bernardo)
21035814,NAESHT005-17SB,Economia do Território A-Noturno (São Bernardo)
21035814,NAESHC038-17SB,Economia Monetária A-Noturno (São Bernardo)
21035814,DBBCS0002-15SB,Projeto Dirigido B-Matutino (São Bernardo)
11187309,NA4BCN0404-15SA,Geometria Analítica A4-Noturno (Santo André)
11187309,NAESZB029-17SB,Gestão de Tecnologia Hospitalar I A-Noturno (São Bernardo)
11187309,DABCN0405-15SA,Introdução às Equações Diferenciais Ordinárias A-Matutino (Santo André)
11056109,NANHT4002-13SA,Bioquímica Experimental A-Noturno (Santo André)
11056109,NANHT4049-15SA,Estrutura da Matéria Avançada A-Noturno (Santo André)
11056109,NANHT4075-15SA,Físico-Química Experimental A-Noturno (Santo André)
21006611,NAESTB029-17SB,Análise e Controle de Sistemas Mecânicos A-Noturno (São Bernardo)
21006611,DAESTB010-17SB,Legislação Relacionada à Saúde A-Matutino (São Bernardo)
11201723111,DB1BIJ0207-15SA,Bases Conceituais da Energia B1-Matutino (Santo André)
11201723111,DABIS0003-15SB,Bases Matemáticas A-Matutino (São Bernardo)
11201723111,DABIK0102-15SA,Estrutura da Matéria A-Matutino (Santo André)
11201723111,DB1BCN0402-15SB,Funções de Uma Variável B1-Matutino (São Bernardo)
11201722334,NB1BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente B1-Noturno (Santo André)
11201722334,NB8BCJ0204-15SA,Fenômenos Mecânicos B8-Noturno (Santo André)
11201722334,NB2BCN0402-15SA,Funções de Uma Variável B2-Noturno (Santo André)
11201722334,NB2BCN0404-15SA,Geometria Analítica B2-Noturno (Santo André)
11201722334,NB2BCM0504-15SA,Natureza da Informação B2-Noturno (Santo André)
11201721326,NB8BCJ0204-15SA,Fenômenos Mecânicos B8-Noturno (Santo André)
11201721326,NB3BCN0402-15SA,Funções de Uma Variável B3-Noturno (Santo André)
21057213,NAESTI017-17SA,Fundamentos de Eletromagnetismo Aplicado A-Noturno (Santo André)
21057213,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André)
21057213,NA4MCTA028-15SA,Programação Estruturada A4-Noturno (Santo André)
21057213,NAESZI029-17SA,Redes WAN de Banda Larga A-Noturno (Santo André)
21057714,NA3BCL0308-15SB,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A3-Noturno (São Bernardo)"
21057714,NAMCTB009-17SB,Cálculo Numérico A-Noturno (São Bernardo)
21057714,NANHI5011-13SB,Políticas Educacionais A-Noturno (São Bernardo)
21057714,NBESTO012-17SB,Princípios de Administração B-Noturno (São Bernardo)
21057714,DAESZU017-17SA,Sensoriamento Remoto A-Matutino (Santo André)
11049812,NAESTS015-17SB,Combustão I A-Noturno (São Bernardo)
11049812,DAESTM010-17SB,Propriedades Mecânicas e Térmicas A-Matutino (São Bernardo)
11049812,NAESTS008-17SB,Vibrações A-Noturno (São Bernardo)
21078016,NA3BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A3-Noturno (Santo André)"
21078016,NA2BIQ0602-15SA,Estrutura e Dinâmica Social A2-Noturno (Santo André)
21078016,NA2BCK0103-15SA,Física Quântica A2-Noturno (Santo André)
21078016,NBBIN0406-15SA,Introdução à Probabilidade e à Estatística B-Noturno (Santo André)
11108816,NA2BIQ0602-15SA,Estrutura e Dinâmica Social A2-Noturno (Santo André)
11108816,DANHZ5016-15SA,História da Educação A-Matutino (Santo André)
11108816,NB1BCM0504-15SA,Natureza da Informação B1-Noturno (Santo André)
11064815,NA2BIJ0207-15SA,Bases Conceituais da Energia A2-Noturno (Santo André)
11064815,NAESTO016-17SA,Fenômenos de Transporte A-Noturno (Santo André)
11064815,NB1BCK0103-15SA,Física Quântica B1-Noturno (Santo André)
11064815,NAESZB021-17SB,Introdução à Engenharia Biomédica A-Noturno (São Bernardo)
11153409,NAESTA004-17SA,Circuitos Elétricos II A-Noturno (Santo André)
11153409,NBESTA008-17SA,Sistemas de Controle II B-Noturno (Santo André)
11120516,NA3BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A3-Noturno (Santo André)"
11120516,NABIK0102-15SA,Estrutura da Matéria A-Noturno (Santo André)
11120516,NA2BIQ0602-15SA,Estrutura e Dinâmica Social A2-Noturno (Santo André)
11044114,NA3BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A3-Noturno (Santo André)"
11044114,DAESZE104-17SA,Energia Geotérmica A-Matutino (Santo André)
11044114,NAESTO008-17SA,Mecânica dos Sólidos I A-Noturno (Santo André)
11044114,NBESTI003-17SA,Transformadas em Sinais e Sistemas Lineares B-Noturno (Santo André)
21011514,NABIJ0207-15SB,Bases Conceituais da Energia A-Noturno (São Bernardo)
21011514,DSBIS0003-15SA,Bases Matemáticas S-Matutino (Santo André)
21011514,DAESTO011-17SA,Fundamentos de Desenho Técnico A-Matutino (Santo André)
21011514,DAESTO006-17SB,Materiais e Suas Propriedades A-Matutino (São Bernardo)
21044512,NANHT3012-15SA,Física do Contínuo A-Noturno (Santo André)
21044512,NAESTO011-17SB,Fundamentos de Desenho Técnico A-Noturno (São Bernardo)
21044512,NA2ESTO004-17SB,Instrumentação e Controle A2-Noturno (São Bernardo)
21044512,NBESTE027-17SA,Laboratório de Calor e Fluidos B-Noturno (Santo André)
21044512,NANHT3028-15SA,Laboratório de Física II A-Noturno (Santo André)
21044512,NAESTM011-17SA,"Propriedades Elétricas, Magnéticas e Ópticas A-Noturno (Santo André)"
11054216,DAMCTB001-17SA,Álgebra Linear A-Matutino (Santo André)
11054216,NBBIR0004-15SA,Bases Epistemológicas da Ciência Moderna B-Noturno (Santo André)
11054216,DB4BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas B4-Matutino (Santo André)"
11054216,DS7BCJ0204-15SA,Fenômenos Mecânicos S7-Matutino (Santo André)
11054216,DB1BCK0103-15SA,Física Quântica B1-Matutino (Santo André)
11184909,DAMCTB001-17SA,Álgebra Linear A-Matutino (Santo André)
11184909,NA2BIS0003-15SA,Bases Matemáticas A2-Noturno (Santo André)
11184909,NBBCN0405-15SA,Introdução às Equações Diferenciais Ordinárias B-Noturno (Santo André)
11063714,DCBIS0003-15SB,Bases Matemáticas C-Matutino (São Bernardo)
11063714,NBESTO903-17SB,Engenharia Unificada II B-Noturno (São Bernardo)
11063714,NAESZB029-17SB,Gestão de Tecnologia Hospitalar I A-Noturno (São Bernardo)
11063714,NABCN0405-15SB,Introdução às Equações Diferenciais Ordinárias A-Noturno (São Bernardo)
11063714,DAESZP034-14SB,Políticas Públicas de Esporte e Lazer A-Matutino (São Bernardo)
11087311,NA3BCK0103-15SA,Física Quântica A3-Noturno (Santo André)
11087311,DBBCN0405-15SA,Introdução às Equações Diferenciais Ordinárias B-Matutino (Santo André)
11087311,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André)
11201720292,NA2BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente A2-Noturno (Santo André)
11201720292,NA8BCJ0204-15SA,Fenômenos Mecânicos A8-Noturno (Santo André)
11201720292,NA3BCN0402-15SA,Funções de Uma Variável A3-Noturno (Santo André)
11201720292,DB2BCN0404-15SA,Geometria Analítica B2-Matutino (Santo André)
11201720292,DA2BCM0504-15SA,Natureza da Informação A2-Matutino (Santo André)
11082011,NAMCZA016-15SA,Gestão de projetos de software A-Noturno (Santo André)
11094510,DAESTG006-17SB,Engenharia Laboral A-Matutino (São Bernardo)
11094510,NAESTO016-17SB,Fenômenos de Transporte A-Noturno (São Bernardo)
11063014,NA2BIS0003-15SA,Bases Matemáticas A2-Noturno (Santo André)
11063014,DAESTB010-17SB,Legislação Relacionada à Saúde A-Matutino (São Bernardo)
11063014,DAESTU021-17SA,Transportes e Mobilidade Urbana A-Matutino (Santo André)
11077713,NB1BIS0003-15SB,Bases Matemáticas B1-Noturno (São Bernardo)
11077713,DAESTO013-17SB,Engenharia Econômica A-Matutino (São Bernardo)
11077713,NB1BHO1101-15SB,Introdução à Economia B1-Noturno (São Bernardo)
11077713,NABIN0406-15SB,Introdução à Probabilidade e à Estatística A-Noturno (São Bernardo)
11077713,NB1BHO0001-15SB,Introdução às Humanidades e Ciências Sociais B1-Noturno (São Bernardo)
11080710,NAESTI003-17SB,Transformadas em Sinais e Sistemas Lineares A-Noturno (São Bernardo)
11053313,NB3ESTA002-17SA,Circuitos Elétricos I B3-Noturno (Santo André)
11053313,DAESTI002-17SA,Eletrônica Digital A-Matutino (Santo André)
11053313,NCESTO017-17SA,Métodos Experimentais em Engenharia C-Noturno (Santo André)
11063109,DAESTM001-17SA,Estado Sólido A-Matutino (Santo André)
11063109,NAESZM002-17SA,Nanociência e Nanotecnologia A-Matutino (Santo André)
11063109,NAESTO012-17SA,Princípios de Administração A-Noturno (Santo André)
11063109,NA2ESTM003-17SA,Tópicos Computacionais em Materiais A2-Noturno (Santo André)
21076515,NAESHC008-17SB,Economia Brasileira Contemporânea II A-Noturno (São Bernardo)
21076515,NAESHC032-17SB,Macroeconomia II A-Noturno (São Bernardo)
21076515,NAESHC026-17SB,Microeconomia II A-Noturno (São Bernardo)
21019913,NAESHP022-14SB,Cultura Política A-Noturno (São Bernardo)
21019913,NAESZP043-14SB,Inovação nos Serviços Públicos A-Noturno (São Bernardo)
21019913,NAESHP027-14SB,Poder Local A-Noturno (São Bernardo)
21036915,DAESHC002-17SB,Contabilidade Básica A-Matutino (São Bernardo)
21036915,NAESHC030-17SB,"Desigualdades de Raça, Gênero e Renda A-Noturno (São Bernardo)"
21036915,DAESHC034-17SB,Economia e Meio Ambiente A-Matutino (São Bernardo)
21036915,DAESTO013-17SB,Engenharia Econômica A-Matutino (São Bernardo)
21036915,DABHO0101-15SB,Estado e Relações de Poder A-Matutino (São Bernardo)
21036915,NAESHC019-17SB,História do Pensamento Econômico A-Noturno (São Bernardo)
21080014,NABIL0304-15SA,Evolução e Diversificação da Vida na Terra A-Noturno (Santo André)
21080614,NAESTO903-17SA,Engenharia Unificada II A-Noturno (Santo André)
21080614,NA1BCK0103-15SA,Física Quântica A1-Noturno (Santo André)
21080614,NAESTO006-17SA,Materiais e Suas Propriedades A-Noturno (Santo André)
21080614,NA3BCM0504-15SA,Natureza da Informação A3-Noturno (Santo André)
21078713,NAESHC030-17SB,"Desigualdades de Raça, Gênero e Renda A-Noturno (São Bernardo)"
21078713,NAESHP013-13SB,Introdução ao Direito Constitucional A-Noturno (São Bernardo)
11201720122,NA3BCJ0204-15SB,Fenômenos Mecânicos A3-Noturno (São Bernardo)
11201720122,NA1BCN0402-15SB,Funções de Uma Variável A1-Noturno (São Bernardo)
11201720122,NA2BCN0404-15SB,Geometria Analítica A2-Noturno (São Bernardo)
11201720122,NA2BCM0504-15SB,Natureza da Informação A2-Noturno (São Bernardo)
11062215,DAESZG013-17SB,Empreendedorismo A-Matutino (São Bernardo)
11062215,NB2BCK0103-15SA,Física Quântica B2-Noturno (Santo André)
11062215,DBBCN0405-15SA,Introdução às Equações Diferenciais Ordinárias B-Matutino (Santo André)
11062215,DAESTO006-17SA,Materiais e Suas Propriedades A-Matutino (Santo André)
11062215,DAESZG011-17SB,Planejamento Estratégico em Gestão de Projetos A-Matutino (São Bernardo)
11062215,NAESHT023-17SB,Sociologia dos Territórios A-Noturno (São Bernardo)
11095910,NBBIS0003-15SA,Bases Matemáticas B-Noturno (Santo André)
11095910,NB2BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente B2-Noturno (Santo André)
11095910,NB5BCJ0204-15SA,Fenômenos Mecânicos B5-Noturno (Santo André)
11095910,NB1BCM0504-15SA,Natureza da Informação B1-Noturno (Santo André)
11067110,NAESTB029-17SB,Análise e Controle de Sistemas Mecânicos A-Noturno (São Bernardo)
11067110,NAESTB018-17SB,Computação Científica aplicada a Problemas Biológicos A-Noturno (São Bernardo)
11067110,NAESTB030-17SB,Física Médica II A-Noturno (São Bernardo)
11067110,NAESTB022-17SB,Fundamentos de Eletrônica Analógica e Digital A-Noturno (São Bernardo)
11067110,NAESTB024-17SB,Modelagem de Sistemas Dinâmicos II A-Noturno (São Bernardo)
11063116,NS6BCJ0204-15SA,Fenômenos Mecânicos S6-Noturno (Santo André)
11063116,NA2BCK0103-15SA,Física Quântica A2-Noturno (Santo André)
11063116,NAMCZA016-15SA,Gestão de projetos de software A-Noturno (Santo André)
11063116,NA4MCTA028-15SA,Programação Estruturada A4-Noturno (Santo André)
11104313,NBESTU024-17SA,Análise de Sistemas e Modelagem Ambiental B-Noturno (Santo André)
11104313,NAESTU025-17SB,Avaliação de Impactos Ambientais A-Noturno (São Bernardo)
11104313,NB2ESTU026-17SA,Caracterização de Matrizes Ambientais B2-Noturno (Santo André)
11104313,NAESZU011-17SB,Gestão Urbano-Ambiental A-Noturno (São Bernardo)
11106713,NAESTM014-17SA,Caracterização de Materiais A-Noturno (Santo André)
11106713,NBESTO903-17SA,Engenharia Unificada II B-Noturno (Santo André)
11106713,NBESTO016-17SA,Fenômenos de Transporte B-Noturno (Santo André)
11106713,DAESZM021-17SA,Matérias Primas Cerâmicas A-Matutino (Santo André)
11106713,NCESTO017-17SA,Métodos Experimentais em Engenharia C-Noturno (Santo André)
11111014,DSBIS0003-15SA,Bases Matemáticas S-Matutino (Santo André)
11111014,NA1BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A1-Noturno (Santo André)"
11111014,DCESTO903-17SA,Engenharia Unificada II C-Matutino (Santo André)
11111014,NS4BCJ0204-15SA,Fenômenos Mecânicos S4-Noturno (Santo André)
11201720548,NA1BIR0004-15SA,Bases Epistemológicas da Ciência Moderna A1-Noturno (Santo André)
11201720548,NA1BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente A1-Noturno (Santo André)
11201720548,NANHH2009-13SB,Ética A-Noturno (São Bernardo)
11201720548,NAMCTB013-13SA,Evolução dos Conceitos Matemáticos A-Noturno (Santo André)
11201720548,NA1BCN0402-15SA,Funções de Uma Variável A1-Noturno (Santo André)
21076615,DBBIR0603-15SA,"Ciência, Tecnologia e Sociedade B-Matutino (Santo André)"
21076615,DAESHT021-17SB,Política Urbana A-Matutino (São Bernardo)
21076615,DABHS0001-15SB,Práticas em Ciências e Humanidades A-Matutino (São Bernardo)
21068413,DAESHC037-17SB,Econometria III A-Matutino (São Bernardo)
21068413,DAESHC038-17SB,Economia Monetária A-Matutino (São Bernardo)
21068413,NAESHC020-17SB,História Econômica Geral A-Noturno (São Bernardo)
11201722664,DB1BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente B1-Matutino (Santo André)
11201722664,DB2BCJ0204-15SA,Fenômenos Mecânicos B2-Matutino (Santo André)
11201722664,DB2BCN0402-15SA,Funções de Uma Variável B2-Matutino (Santo André)
11201722664,DB2BCN0404-15SA,Geometria Analítica B2-Matutino (Santo André)
11201722664,DB1BCM0504-15SA,Natureza da Informação B1-Matutino (Santo André)
11050913,NAESTM014-17SA,Caracterização de Materiais A-Noturno (Santo André)
11050913,NBESTO903-17SA,Engenharia Unificada II B-Noturno (Santo André)
11050913,NBESTO012-17SB,Princípios de Administração B-Noturno (São Bernardo)
21044516,DAESHT001-17SB,Arranjos Institucionais e Marco Regulatório do Território A-Matutino (São Bernardo)
21044516,NAESZP018-13SB,Ensino Superior no Brasil: Trajetórias e Modelos Institucionais A-Noturno (São Bernardo)
21044516,NAESHP007-13SB,Federalismo e Políticas Públicas A-Noturno (São Bernardo)
21044516,NAESHP014-13SB,Introdução às Políticas Públicas A-Noturno (São Bernardo)
11201720190,DB1BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente B1-Matutino (Santo André)
11201720190,DB3BCJ0204-15SA,Fenômenos Mecânicos B3-Matutino (Santo André)
11201720190,DB3BCN0402-15SA,Funções de Uma Variável B3-Matutino (Santo André)
11201720190,DB1BCN0404-15SA,Geometria Analítica B1-Matutino (Santo André)
21006615,DAESZG041-17SB,Gestão da Inovação A-Matutino (São Bernardo)
21006615,DAESTG010-17SB,Inovação Tecnológica A-Matutino (São Bernardo)
21006615,DAESZP034-14SB,Políticas Públicas de Esporte e Lazer A-Matutino (São Bernardo)
21006615,DBESTO012-17SB,Princípios de Administração B-Matutino (São Bernardo)
21006615,DABCS0002-15SB,Projeto Dirigido A-Matutino (São Bernardo)
11120511,NANHZ1024-15SA,Etnofarmacologia A-Noturno (Santo André)
11120511,NANHT1060-15SA,Morfofisiologia Humana III A-Noturno (Santo André)
11120511,NANHZ4035-15SA,Processos Industriais Orgânicos e Inorgânicos A-Noturno (Santo André)
11120511,DANHT1064-15SA,Zoologia de Invertebrados II A-Matutino (Santo André)
11079615,NA1BIJ0207-15SA,Bases Conceituais da Energia A1-Noturno (Santo André)
11079615,DBMCTB009-17SA,Cálculo Numérico B-Matutino (Santo André)
11079615,NANHT4051-15SA,Química Analítica Clássica I A-Noturno (Santo André)
11079615,NANHT4040-15SA,Química Orgânica Aplicada A-Noturno (Santo André)
11201721397,DA2BCL0306-15SB,Biodiversidade: Interações entre organismos e ambiente A2-Matutino (São Bernardo)
11201721397,DA1BCJ0204-15SB,Fenômenos Mecânicos A1-Matutino (São Bernardo)
11201721397,DA2BCN0402-15SB,Funções de Uma Variável A2-Matutino (São Bernardo)
11201721397,DA1BCN0404-15SB,Geometria Analítica A1-Matutino (São Bernardo)
11201721397,DA2BCM0504-15SB,Natureza da Informação A2-Matutino (São Bernardo)
21047316,NB2BCL0308-15SB,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas B2-Noturno (São Bernardo)"
21047316,NAESTB018-17SB,Computação Científica aplicada a Problemas Biológicos A-Noturno (São Bernardo)
21047316,NANHZ5020-15SB,Educação inclusiva A-Noturno (São Bernardo)
21047316,DABHQ0002-15SB,Estudos Étnico-Raciais A-Matutino (São Bernardo)
21047316,NAESTO006-17SB,Materiais e Suas Propriedades A-Noturno (São Bernardo)
11017215,DAESTM004-17SA,Ciência dos Materiais A-Matutino (Santo André)
11017215,DBESTO902-17SA,Engenharia Unificada I B-Matutino (Santo André)
11017215,DAESTO008-17SA,Mecânica dos Sólidos I A-Matutino (Santo André)
11017215,DA1ESTO017-17SA,Métodos Experimentais em Engenharia A1-Matutino (Santo André)
11017215,DAESTM016-17SA,Química Inorgânica de Materiais A-Matutino (Santo André)
11017215,DAESTM009-17SA,Termodinâmica Estatística de Materiais A-Matutino (Santo André)
11121911,NAESTG004-17SB,"Elaboração, Análise e Avaliação de Projetos A-Noturno (São Bernardo)"
11121911,NA1ESTO004-17SB,Instrumentação e Controle A1-Noturno (São Bernardo)
11121911,NAESTG025-17SB,Propriedade Intelectual A-Noturno (São Bernardo)
11034514,NAESTG005-17SB,Engenharia Econômica Aplicada a Sistemas de Gestão A-Noturno (São Bernardo)
11034514,NAESZG031-17SB,Engenharia Humana A-Noturno (São Bernardo)
11044910,DAMCZC002-15SB,Bases Neurais da Motricidade A-Matutino (São Bernardo)
11044910,DAESTO902-17SB,Engenharia Unificada I A-Matutino (São Bernardo)
11044910,DAESTO012-17SB,Princípios de Administração A-Matutino (São Bernardo)
11044910,DAMCTC022-15SB,Processamento de Sinais Neurais A-Matutino (São Bernardo)
11017515,DB2ESTO001-17SA,Circuitos Elétricos e Fotônica B2-Matutino (Santo André)
11017515,DBBHO1101-15SB,Introdução à Economia B-Matutino (São Bernardo)
11017515,DANHI2049-13SA,Lógica Básica A-Matutino (Santo André)
11017515,DB2BCM0504-15SA,Natureza da Informação B2-Matutino (Santo André)
11017515,DAESTO012-17SA,Princípios de Administração A-Matutino (Santo André)
11114113,NBESTO903-17SB,Engenharia Unificada II B-Noturno (São Bernardo)
11114113,NBESTO016-17SA,Fenômenos de Transporte B-Noturno (Santo André)
11114113,NBBCK0103-15SB,Física Quântica B-Noturno (São Bernardo)
11201720478,DABIS0003-15SB,Bases Matemáticas A-Matutino (São Bernardo)
11201720478,DABHO1335-15SB,Formação do Sistema Internacional A-Matutino (São Bernardo)
11201720478,DABHO1101-15SB,Introdução à Economia A-Matutino (São Bernardo)
11201720478,DABHO0001-15SB,Introdução às Humanidades e Ciências Sociais A-Matutino (São Bernardo)
11201720478,DABHP0202-15SB,Pensamento Crítico A-Matutino (São Bernardo)
11201722843,NA1BHO1335-15SB,Formação do Sistema Internacional A1-Noturno (São Bernardo)
11201722843,NABHO1101-15SB,Introdução à Economia A-Noturno (São Bernardo)
11201722843,NBBIN0406-15SA,Introdução à Probabilidade e à Estatística B-Noturno (Santo André)
11201722965,DBBIS0003-15SB,Bases Matemáticas B-Matutino (São Bernardo)
11201722965,DABHO1335-15SB,Formação do Sistema Internacional A-Matutino (São Bernardo)
11201722965,DABHO1101-15SB,Introdução à Economia A-Matutino (São Bernardo)
11201722965,DABHO0001-15SB,Introdução às Humanidades e Ciências Sociais A-Matutino (São Bernardo)
11088516,NAESTU023-17SA,Biomas Brasileiros A-Noturno (Santo André)
11088516,NANHZ5020-15SA,Educação inclusiva A-Noturno (Santo André)
11088516,NABIK0102-15SA,Estrutura da Matéria A-Noturno (Santo André)
11088516,NS5BCJ0204-15SA,Fenômenos Mecânicos S5-Noturno (Santo André)
11201721724,NBBHO1335-15SB,Formação do Sistema Internacional B-Noturno (São Bernardo)
11201721724,NBBHO1101-15SB,Introdução à Economia B-Noturno (São Bernardo)
11201721724,NBBHO0001-15SB,Introdução às Humanidades e Ciências Sociais B-Noturno (São Bernardo)
11201721724,NBBHP0202-15SB,Pensamento Crítico B-Noturno (São Bernardo)
11099316,NA2BIR0004-15SA,Bases Epistemológicas da Ciência Moderna A2-Noturno (Santo André)
11099316,DB1BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas B1-Matutino (Santo André)"
11099316,DS3BCJ0204-15SA,Fenômenos Mecânicos S3-Matutino (Santo André)
11099316,DANHZ4059-15SA,Indústria de Polímeros A-Matutino (Santo André)
11071310,NBESTU024-17SA,Análise de Sistemas e Modelagem Ambiental B-Noturno (Santo André)
11071310,NAESTU023-17SA,Biomas Brasileiros A-Noturno (Santo André)
11071310,NA1ESTO001-17SA,Circuitos Elétricos e Fotônica A1-Noturno (Santo André)
11071310,NAESTO016-17SB,Fenômenos de Transporte A-Noturno (São Bernardo)
11152909,NAESTB029-17SB,Análise e Controle de Sistemas Mecânicos A-Noturno (São Bernardo)
11152909,NBMCTB009-17SA,Cálculo Numérico B-Noturno (Santo André)
11152909,NA1ESTO001-17SB,Circuitos Elétricos e Fotônica A1-Noturno (São Bernardo)
11112216,DA3BCL0308-15SB,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A3-Matutino (São Bernardo)"
11112216,NBBIQ0602-15SA,Estrutura e Dinâmica Social B-Noturno (Santo André)
11112216,NA8BCJ0204-15SA,Fenômenos Mecânicos A8-Noturno (Santo André)
11112216,NB3BCN0402-15SA,Funções de Uma Variável B3-Noturno (Santo André)
11112216,DBBCN0404-15SB,Geometria Analítica B-Matutino (São Bernardo)
11015410,DA2ESTA004-17SA,Circuitos Elétricos II A2-Matutino (Santo André)
11015410,NAESZE109-17SA,Impactos Econômicos e Socioambientais da Geração Fotovoltaica A-Noturno (Santo André)
11015410,DAESTE016-17SA,Introdução aos Sistemas Elétricos de Potência A-Matutino (Santo André)
11015410,NAESTE017-17SA,Operação de Sistemas Elétricos de Potência A-Noturno (Santo André)
11015410,NAESZE107-17SA,Sistemas Fotovoltaicos Isolados A-Noturno (Santo André)
11015410,DAESTE021-17SA,Termodinâmica Aplicada II A-Matutino (Santo André)
21091315,NA1BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A1-Noturno (Santo André)"
21091315,NABCN0405-15SA,Introdução às Equações Diferenciais Ordinárias A-Noturno (Santo André)
21017815,DANHH2016-13SB,Filosofia da Ciência: o debate Popper-Kuhn e seus desdobramentos A-Matutino (São Bernardo)
21017815,DANHH2032-13SB,História da Filosofia Antiga: Aristóteles e o Aristotelismo A-Matutino (São Bernardo)
21017815,DAMCTC002-15SB,Introdução à Neurociência A-Matutino (São Bernardo)
21017815,DANHH2065-13SB,Problemas Metafísicos: Perspectivas Modernas A-Matutino (São Bernardo)
21087516,NAESHC030-17SB,"Desigualdades de Raça, Gênero e Renda A-Noturno (São Bernardo)"
21087516,DAESHC034-17SB,Economia e Meio Ambiente A-Matutino (São Bernardo)
21087516,NAESHR006-13SB,Formação Histórica da América Latina A-Noturno (São Bernardo)
