RA,CÓDIGO TURMA,TURMA
11112210,NAESTU004-17SA,Cartografia e Geoprocessamento A-Noturno (Santo André)
11112210,NBESZU028-17SA,Geotecnia Aplicada ao Planejamento Urbano-Ambiental B-Noturno (Santo André)
11112210,NA1ESTU029-17SA,Hidráulica de Condutos Livres A1-Noturno (Santo André)
11084213,DB2ESTA002-17SA,Circuitos Elétricos I B2-Matutino (Santo André)
11084213,DCESTO902-17SA,Engenharia Unificada I C-Matutino (Santo André)
11084213,DS7BCJ0204-15SA,Fenômenos Mecânicos S7-Matutino (Santo André)
11084213,DAESTA020-17SA,Modelagem e Controle A-Matutino (Santo André)
11084213,DB1ESTI013-17SA,Sistemas Microprocessados B1-Matutino (Santo André)
11201721669,NA5BCJ0204-15SA,Fenômenos Mecânicos A5-Noturno (Santo André)
11201721669,NA1BCN0404-15SA,Geometria Analítica A1-Noturno (Santo André)
11201721669,NA2BCM0504-15SA,Natureza da Informação A2-Noturno (Santo André)
21070214,DABIN0406-15SB,Introdução à Probabilidade e à Estatística A-Matutino (São Bernardo)
11049210,NAESTE027-17SA,Laboratório de Calor e Fluidos A-Noturno (Santo André)
11049210,DAESTE026-17SA,Laboratório de Máquinas Térmicas e Hidráulicas A-Matutino (Santo André)
11049210,DAESTA016-17SA,Máquinas Elétricas A-Matutino (Santo André)
11049210,NAESTE017-17SA,Operação de Sistemas Elétricos de Potência A-Noturno (Santo André)
11049210,DAESZE100-17SA,Refino do Petróleo A-Matutino (Santo André)
21080412,NA1BIS0003-15SB,Bases Matemáticas A1-Noturno (São Bernardo)
21080412,NAESHC037-17SB,Econometria III A-Noturno (São Bernardo)
21080412,DABIN0406-15SB,Introdução à Probabilidade e à Estatística A-Matutino (São Bernardo)
11201723022,DABIS0005-15SB,Bases Computacionais da Ciência A-Matutino (São Bernardo)
11201723022,DABIJ0207-15SB,Bases Conceituais da Energia A-Matutino (São Bernardo)
11201723022,DA1BCL0306-15SB,Biodiversidade: Interações entre organismos e ambiente A1-Matutino (São Bernardo)
11201723022,DABIR0603-15SB,"Ciência, Tecnologia e Sociedade A-Matutino (São Bernardo)"
11201723022,DAESTO902-17SB,Engenharia Unificada I A-Matutino (São Bernardo)
13201723137,NAESHC003-17SB,Desenvolvimento Socioeconômico A-Noturno (São Bernardo)
13201723137,DBESHC035-17SB,Econometria I B-Matutino (São Bernardo)
13201723137,NAESHC008-17SB,Economia Brasileira Contemporânea II A-Noturno (São Bernardo)
13201723137,NAESHC020-17SB,História Econômica Geral A-Noturno (São Bernardo)
13201723137,DAESHC039-17SB,Questões Metodológicas em Economia A-Matutino (São Bernardo)
11005116,DBMCTB001-17SA,Álgebra Linear B-Matutino (Santo André)
11005116,NA1BIR0004-15SA,Bases Epistemológicas da Ciência Moderna A1-Noturno (Santo André)
11005116,DA2BCL0308-15SA,"Bioquímica: Estrutura, Propriedade e Funções de Biomoléculas A2-Matutino (Santo André)"
11005116,NBBIR0603-15SA,"Ciência, Tecnologia e Sociedade B-Noturno (Santo André)"
11005116,DA2BCK0103-15SA,Física Quântica A2-Matutino (Santo André)
11012606,NAESTG004-17SB,"Elaboração, Análise e Avaliação de Projetos A-Noturno (São Bernardo)"
11012606,DAESTG009-17SB,Gestão de Operações A-Matutino (São Bernardo)
11012606,DAESZG039-17SB,Lógica em Sistemas de Gestão A-Matutino (São Bernardo)
11012606,NAESTG023-17SB,Organização do Trabalho A-Noturno (São Bernardo)
11201722117,NA2BIJ0207-15SA,Bases Conceituais da Energia A2-Noturno (Santo André)
11201722117,NB1BCL0306-15SA,Biodiversidade: Interações entre organismos e ambiente B1-Noturno (Santo André)
11201722117,NB2BCN0404-15SA,Geometria Analítica B2-Noturno (Santo André)
11201722117,NA3BCM0504-15SA,Natureza da Informação A3-Noturno (Santo André)
21086413,NAESHC003-17SB,Desenvolvimento Socioeconômico A-Noturno (São Bernardo)
21086413,NAESHC035-17SB,Econometria I A-Noturno (São Bernardo)
21086413,DAESHC034-17SB,Economia e Meio Ambiente A-Matutino (São Bernardo)
21086413,NB1BCS0002-15SA,Projeto Dirigido B1-Noturno (Santo André)
11024613,DAESTA002-17SA,Circuitos Elétricos I A-Matutino (Santo André)
11024613,NAESTE028-17SA,Engenharia Nuclear A-Noturno (Santo André)
11024613,DAESTO012-17SA,Princípios de Administração A-Matutino (Santo André)
11024613,NAESZE107-17SA,Sistemas Fotovoltaicos Isolados A-Noturno (Santo André)
11024613,DAESTE021-17SA,Termodinâmica Aplicada II A-Matutino (Santo André)
21087314,NA2ESTO001-17SB,Circuitos Elétricos e Fotônica A2-Noturno (São Bernardo)
21087314,DABCN0405-15SB,Introdução às Equações Diferenciais Ordinárias A-Matutino (São Bernardo)
21087314,DSBCM0505-15SB,Processamento da Informação S-Matutino (São Bernardo)
11030509,DANHT3071-15SA,Eletromagnetismo II A-Matutino (Santo André)
11030509,DBNHI5011-13SA,Políticas Educacionais B-Matutino (Santo André)
11030509,DANHT5013-15SA,Práticas de Ensino de Ciências e Matemática no Ensino Fundamental A-Matutino (Santo André)
11030509,DAMCTD012-13SA,Práticas de Ensino de Matemática II A-Matutino (Santo André)
11100411,DAESTE037-17SA,Análise Econômica de Projetos Energéticos A-Matutino (Santo André)
11100411,DAESTE016-17SA,Introdução aos Sistemas Elétricos de Potência A-Matutino (Santo André)
11100411,NAESTO015-17SA,Mecânica dos Fluidos I A-Noturno (Santo André)
11100411,DAESTE021-17SA,Termodinâmica Aplicada II A-Matutino (Santo André)
21025414,NAESHP022-14SB,Cultura Política A-Noturno (São Bernardo)
21025414,NAESHP014-13SB,Introdução às Políticas Públicas A-Noturno (São Bernardo)
21025414,NAESHT010-17SB,Métodos de Planejamento A-Noturno (São Bernardo)
21025414,NAESHP027-14SB,Poder Local A-Noturno (São Bernardo)
